Feature,n,Mean,SD,Min,Q1,Median,Q3,Max,r_BMP
DM,127.0,45.32598425196849,25.942709201814463,15.3,23.5,33.7,71.95,90.6,-0.20766893006565204
VS,127.0,40.507086614173225,24.103296820876928,13.0,21.4,30.3,62.05,86.0,-0.08257496925267664
C/N,127.0,60.98188976377953,74.43982913387036,8.2,25.5,42.1,58.3,497.8,-0.06206092630928504
Carbon,127.0,41.577952755905514,2.752600887986475,28.7,40.6,42.3,43.3,46.8,0.5576719129322755
Hydrogen,127.0,5.818897637795276,0.5072071496079519,4.0,5.5,5.8,6.15,6.8,0.6016660949778423
Nitrogen,127.0,1.2173228346456693,0.759917966352653,0.1,0.7,1.1,1.6,4.5,-0.10056540830398558
Sulfur,127.0,0.3050393700787402,0.2155534552923913,0.04,0.2,0.2,0.4,1.4,-0.3713598612788717
Oxygen,127.0,40.37559055118109,6.266447773981444,5.3,37.75,41.4,44.8,48.8,0.5985490389085047
Cellulose,127.0,27.842519685039367,9.521000344977091,8.7,21.7,25.6,30.200000000000003,60.9,0.3020489096706007
Hemicelluloses,127.0,14.442519685039366,4.206599495445889,6.0,11.5,14.2,17.95,26.0,-0.17563733656969738
Lignin,127.0,23.880314960629924,10.037667465800048,5.5,17.0,21.3,28.6,52.3,-0.4856720183335698
BMP,127.0,252.8875354330709,67.65194101683969,29.026000000000003,209.00799999999998,263.72,297.64199999999994,410.468,1.0
